species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Oncorhynchus nerka,Salmonidae,Salmoniformes,Oncorhynchus nerka,pelagic-oceanic,0,250,84,TL,selective plankton feeding,anadromous,planktivore,NOAA,pelagic,terminal,emarginate,pelagic,pelagic,1,15,0,,,USGS,,3720,,,Hart 1973,"Epipelagic (Ref. 58426).  Occurs in open ocean and lakes and migrates up to coastal streams to spawn (Ref. 86798). There are two forms, the anadromous form known as the sockeye and the landlocked form (with a much smaller maximum size) known as the kokanee (Ref. 27547).  Upon emergence from gravel, fry at first tends to avoid light, hiding during the day and emerging at night (Ref. 27547).  In some populations, sockeye fry go to the sea during their first summer but most spend one or two (rarely three or four) years in a lake before migrating (Ref. 30333).  In a few streams of the Copper River drainage in Alaska, young sockeye stay in the stream (Ref. 27547).  Once in the lake, the young spend a few weeks inshore, feeding largely on ostracods, cladocerans and insect larvae.  The fish then become pelagic and move offshore, where they feed on plankton in the upper 20 m or so (Ref. 27547).  Seaward migration follows with the young individuals first staying fairly close to shore, feeding mainly on zooplankton, but also on small fishes and insects (Ref. 30343, 30346).  With growth, they head out to sea and fish become important in the diet (Ref. 27547).  Kokanee are confined to lake-stream systems, and most of its life is spent in the lake (Ref. 27547).  They feed mainly on plankton, but also take insects and bottom organisms (Ref. 1998).  Kokanee, wherever they are native, have been derived from anadromous populations, and each kokanee population apparently has evolved independently from a particular sockeye run (Ref. 30338, 30339).  Offspring of kokanee occasionally become anadromous, and sockeye offspring occasionally remain in freshwater (Ref. 27547).  Lifespan of the kokanee varies from two to seven years in different stocks (Ref. 27547).  The sockeye is one of the most commercially important Pacific salmons; the kokanee is primarily a sport fish but also makes excellent food and in some areas well regarded as food for large trout (Ref. 27547).  Marketed fresh, dried or salted, smoked, canned, and frozen; eaten steamed, fried, broiled, microwaved, and baked (Ref. 9988).","Epipelagic (Ref. 58426).  There are two forms, the anadromous form known as the sockeye and the landlocked form (with a much smaller maximum size) known as the kokanee (Ref. 27547).  Upon emergence from gravel, fry at first tends to avoid light, hiding during the day and emerging at night (Ref. 27547).  In some populations, sockeye fry go to the sea during their first summer but most spend one or two (rarely three or four) years in a lake before migrating (Ref. 30333).  In a few streams of the Copper River drainage in Alaska, young sockeye stay in the stream (Ref. 27547).  Once in the lake, the young spend a few weeks inshore, feeding largely on ostracods, cladocerans and insect larvae.  The fish then become pelagic and move offshore, where they feed on plankton in the upper 20 m or so (Ref. 27547).  Seaward migration follows with the young individuals first staying fairly close to shore, feeding mainly on zooplankton, but also on small fishes and insects (Ref. 30343, 30346).  With growth, they head out to sea and fish become important in the diet (Ref. 27547).  Kokanee are confined to lake-stream systems, and most of its life is spent in the lake (Ref. 27547).  They feed mainly on plankton, but also take insects and bottom organisms (Ref. 1998).  Kokanee, wherever they are native, have been derived from anadromous populations, and each kokanee population apparently has evolved independently from a particular sockeye run (Ref. 30338, 30339).  Offspring of kokanee occasionally become anadromous, and sockeye offspring occasionally remain in freshwater (Ref. 27547).  Lifespan of the kokanee varies from two to seven years in different stocks (Ref. 27547).",0,0,0,50,0,0,0,0,50,0,0,0,0,0,
Oncorhynchus tshawytscha,Salmonidae,Salmoniformes,Oncorhynchus tshawytscha,benthopelagic,0,375,160,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,pelagic,terminal,emarginate,pelagic,pelagic,2,16.9,0,,,USGS,,4800,9,,"Hart 1973, Blake et al. supp mat","Adults return to natal streams from the sea  to spawn (Ref. 27547).  Fry may migrate to the sea after only 3 months in fresh water, some may stay for as long as 3 years, but generally most stay a year in the stream before migrating (Ref. 27547).  Some individuals remain close inshore throughout their lives, but some make extensive migrations (Ref. 27547, 44894).  Also found in lakes (Ref. 1998).  Possibly up to 375 m depth (Ref. 6793).  Epipelagic (Ref. 58426).  Food in streams is mainly terrestrial insects and small crustaceans; in the sea, major food items include fishes, crustaceans, and other invertebrates (Ref. 27547).  Young are preyed upon by fishes and birds (such as mergansers and kingfishers); adults are prey of large mammals and large birds (Ref. 1998).  Highly regarded game fish (Ref. 27547).  Flesh is usually red, but some are white; the red meat commands a higher price (Ref. 27547).  Marketed fresh, smoked, frozen, and canned.  Eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).  Viscera said to contain high vitamin A content and used successfully as food for hatchery fish (Ref. 28971, 28977).","Adults return to natal streams from the sea  to spawn (Ref. 27547).  Fry may migrate to the sea after only 3 months in fresh water, some may stay for as long as 3 years, but generally most stay a year in the stream before migrating (Ref. 27547).  Some individuals remain close inshore throughout their lives, but some make extensive migrations (Ref. 27547, 44894).",75.67567568,0,18.91891892,0,0,0,5.405405405,0,0,0,0,0,0,0,
Salvelinus alpinus,Salmonidae,Salmoniformes,Salvelinus alpinus,benthopelagic,0,96,107,TL,hunting macrofauna (predator),anadromous,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,0,20,,,,Coad et al. 2018,,,30,,Coad et al. 2018,"Nerito-pelagic (Ref. 58426).  Occurs in the sea along coasts, estuaries, rivers, and lakes with cold, clear water (Ref. 59043). Found in deep runs and pools of medium to large rivers (Ref. 5723, 86798). Anadromous forms spend a considerable time of their lives at sea; non-migratory populations remain in lakes and rivers (Ref. 4779).  Anadromous populations enter rivers to breed during fall and winter (Ref. 86798). Freshwater populations feed on planktonic crustaceans, amphipods, mollusks, insects and fishes (Ref. 4479).  Anadromous individuals feed little in freshwater and never feed during migrations.  Spawning usually takes place on pebble to stone bottom in lakes.  Riverine stocks spawn in rivers with slow current (02.-0.8 m/s), but there are some riverine anadromous stocks (in Norway) which spawn yearly in fast-flowing waters of riffles (Ref. 59043).  Extremely sensitive to water pollution (cold water and oxygen oriented) (Ref. 2163).  Marketed fresh, smoked, canned (Ref. 27547), and frozen.  Eaten saut?©ed, broiled, fried, microwaved and baked (Ref. 9988).  Parasitized by tapeworm (Ref. 37032).","Occurs in deep runs and pools of medium to large rivers, and lakes (Ref. 5723).  Anadromous forms spend a considerable time of their lives at sea; non-migratory populations remain in lakes and rivers (Ref. 4779).  Freshwater populations feed on planktonic crustaceans, amphipods, mollusks, insects and fishes (Ref. 4479, 6258).  Among the marine fishes eaten are cottids (<i>Myxocephalus groenlandicus</i>, <i>Triglops pingeli</i>), arctic cod (<i>Boreogadus saida</i>), sand lance (<i>Ammodytes</i> spp.), snailfishes (<i>Liparis</i> spp.) and smaller Arctic char (Ref. 5951).  Extremely sensitive to water pollution (cold water and oxygen oriented) (Ref. 2163).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Salvelinus malma,Salmonidae,Salmoniformes,Salvelinus malma,benthopelagic,0,200,100,TL,hunting macrofauna (predator),anadromous,piscivore,NOAA,pelagic,terminal,forked,pelagic,pelagic,-1,14,0,32,,USGS,,5000,12,,"Beukhof et al. 2019, Coad et al. 2018","Occurs in deep runs and pools of creeks and small to large rivers; also in lakes and the sea (Ref. 5723, 86798).  Lives in very clean mountain streams (Ref. 12218).  Nerito-pelagic (Ref. 58426).  Typically anadromous, but many populations are landlocked.  Anadromous fish may spend 2-3 years at sea, evidently near shore, migrate upstream usually in fall, and spawn during spring (Ref. 86798).  Young remain in streams for 3-4 years and feed on insects, leeches, snails, and salmon eggs (Ref. 1998) before entering brackish and salt water to feed on insects, fishes, and other invertebrates.  Utilized fresh and eaten fried, broiled, and baked (Ref. 9988).","Occurs in deep runs and pools of creeks and rivers; also in lakes and the sea (Ref. 5723).  Lives in very clean mountain streams (Ref. 12218).  Nerito-pelagic (Ref. 58426).  Typically anadromous, but many populations are landlocked (Ref. 5723).  Anadromous fish may spend 2-3 years at sea, evidently near shore, and migrate upstream to spawn (Ref. 5723).  Young remain in streams for 3-4 years and feed on insects, leeches, snails, and salmon eggs (Ref. 1998) before entering brackish and salt water to feed on insects, fishes, and other invertebrates (Ref. 1998).",90.90909091,0,0,0,9.090909091,0,0,0,0,0,0,0,0,0,
Cololabis saira,Scomberesocidae,Beloniformes,Cololabis saira,pelagic-oceanic,0,230,44,TL,selective plankton feeding,oceanodromous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,,,,,,,,,4,,Beukhof et al. 2019,"Adults are generally found offshore, usually near surface, in schools (Ref. 2850).  Juveniles associate with drifting seaweed (Ref. 12114, 12115).  Feed on small crustaceans, and eggs and larvae of fishes.  May glide above the surface of the water when moving away from predators.  Prey of <i>Thunnus alalunga</i> and other scombrids (Ref. 9339).  Oviparous, with larvae neustonic (Ref. 36573).  Eggs are attached to one another and to floating objects via filaments on the shell surface (Ref. 36573).  Utilized dried or salted, canned and frozen; also used for fishmeal and pet food; can be pan-fried and broiled (Ref. 9988).",Zooplankton feeder. Also feed on krill and anchovy (Ref. 39882).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes aleutianus,Scorpaenidae,Scorpaeniformes,Sebastes aleutianus,bathydemersal,25,900,97,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,emarginate,soft bottoms,benthic,,,,,,,,,205,schooling,Kolora et al. 2021,Usually found offshore (Ref. 27437).  Viviparous (Ref. 34817).,NA,12.39316239,34.93589744,44.12393162,0.106837607,2.777777778,0,5.128205128,0.213675214,0,0,0.320512821,0,0,0,
Sebastes alutus,Scorpaenidae,Scorpaeniformes,Sebastes alutus,bathydemersal,0,825,55,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,forked,flat bottoms,demersal,2.6,11.1,,,,Love 2011,,505000,105,schooling ,"Mecklenburg, Kolora et al. 2021, Love 2011","Abundant in offshore waters (Ref. 2850).  Young pelagic up to age 3 (Ref. 6885).  Grows slowly (Ref. 2850).  Viviparous (Ref. 34817).  Very important commercial rockfish in the North Pacific (Ref. 2850, 27437).  Marketed as fillets (Ref. 2850).  Utilized fresh and frozen; eaten fried, microwaved and baked (Ref. 9988).",NA,5.651135006,5.304659498,74.7311828,1.087216249,8.649940263,2.234169654,1.92353644,0,0.250896057,0.011947431,0,0.131421744,0.023894863,0,
Sebastes babcocki,Scorpaenidae,Scorpaeniformes,Sebastes babcocki,demersal,49,625,65,TL,NA,,invertivore,NOAA,,terminal,truncate,soft bottoms,benthic,,,,,,,,,106,schooling,Blake et al. supp mat,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,NA,4.12371134,64.94845361,29.89690722,0,1.030927835,0,0,0,0,0,0,0,0,0,
Sebastes borealis,Scorpaenidae,Scorpaeniformes,Sebastes borealis,bathydemersal,0,1200,120,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,truncate,soft bottoms,benthic,,,,,,,,,160,,Kolora et al. 2021,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,NA,24,20.47058824,43.05882353,0,0.941176471,0.470588235,9.647058824,0,0,0.470588235,0.235294118,0.470588235,0,0.235294118,
Sebastes brevispinis,Scorpaenidae,Scorpaeniformes,Sebastes brevispinis,demersal,0,375,71,TL,NA,,generalist,NOAA,,terminal,truncate,rocky bottoms,demersal,4.1,12.3,,,,Love 2011,,1917000,82,schooling,"Kolora et al. 2021, Love 2011","Occur just above the bottom, sometimes found in rocky caverns and crevices (Ref. 27436).  Ovoviviparous (Ref. 6885).  Rarely caught by anglers (Ref. 27436).  Filleted and sold indiscriminately with other rockfish; flavor and texture of flesh particularly good (Ref. 27436).",NA,11.36363636,3.409090909,72.72727273,0,4.545454545,0,7.954545455,0,0,0,0,0,0,0,
Sebastes caurinus,Scorpaenidae,Scorpaeniformes,Sebastes caurinus,demersal,10,183,66,TL,hunting macrofauna (predator),,generalist,fishbase,variable,terminal,truncate,rocky bottoms,demersal,,,,,,,,650000,57,,"Kolora et al. 2021, Love 2011","Particularly abundant in shallow, protected bays and inlets, among rocks and kelp beds; also found around pilings and jetties or under floats (Ref. 27436).  Juveniles found in loose aggregations in shallow weedy bays, around wharfs, or among floating drift associated with summer tidelines (Ref. 27436).  Mainly a benthic feeder, may also take pelagic fishes (Ref. 27436).  Viviparous, with planktonic larvae (Ref. 36715).  Flesh is tasty, firm and flaky (Ref. 27436).  Sold mainly as fresh fillets or live in Chinese restaurants and fish markets; excellent for fish chips or for pan frying as fillets (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes ciliatus,Scorpaenidae,Scorpaeniformes,Sebastes ciliatus,demersal,5,160,53,TL,hunting macrofauna (predator),,generalist,fishbase,pelagic,terminal,forked,rocky bottoms,demersal,,,,,,,,,67,schooling,"Mecklenburg, Kolora et al. 2021","Found hovering in loose organized groups just above rocky reefs and along shorelines, or may rest singly upon rocky substrate (Ref. 27436).  Feed by picking and seizing food items that are either drifting or suspended in the water column (Ref. 27302).  Viviparous (Ref. 34817).  Sold as fresh or frozen fillets; eaten as fish cakes (Ref. 27436).  Captured by the nearshore jig fishery and has been reported to comprise up to 25% of the catch in the 'black rockfish' jig fishery of the northern Gulf of Alaska (citation in Ref. 53613).",NA,10.14492754,9.661835749,48.30917874,2.898550725,11.5942029,5.314009662,2.898550725,0.483091787,2.415458937,0,0,5.314009662,0.966183575,0,
Sebastes crameri,Scorpaenidae,Scorpaeniformes,Sebastes crameri,bathydemersal,29,600,58,TL,NA,,generalist,Brodeur and Pearcy ,,terminal,forked,soft bottoms,benthic,4.4,11.1,,,,Love 2011,,610000,105,solitary,"Kolora et al. 2021, Love 2011",A deep-water species found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).  Anterolateral glandular grooves with venom gland (Ref. 57406).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes diploproa,Scorpaenidae,Scorpaeniformes,Sebastes diploproa,bathydemersal,80,800,46,TL,NA,,generalist,,,terminal,emarginate,soft bottoms,demersal,5.2,10.9,,,,Love 2011,,255000,103,schooling,"Kolora et al. 2021, Love 2011","Common offshore, on soft bottoms (Ref. 2850).  Young occur in shallow water, often at surface under drifting kelp (Ref. 2850).  Viviparous, with planktonic larvae and pelagic juveniles (Ref. 36715, 34817).  The biggest individuals are sometimes found in markets where the flesh is sold as rockfish fillet (Ref. 27436).  Rarely caught by anglers (Ref. 27436).)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes elongatus,Scorpaenidae,Scorpaeniformes,Sebastes elongatus,demersal,12,495,43,TL,NA,,generalist,"Kells, Rocha, and Allen",variable,terminal,truncate,sandy bottoms,benthic,4.1,11.9,,,,Love 2011,,295153,54,,"Kolora et al. 2021, Love et al. 1990","A common inhabitant of both inshore and offshore areas (Ref. 2850, 6885).  Found on rocky as well as soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).  Only the largest individuals are filleted for human consumption, smaller ones are processed into fishmeal or used as animal feed (Ref. 27436).  The flesh has a delicious flavor and appealing texture (Ref. 27436).  Rarely caught by sports anglers, but an excellent bait for large lingcod (Ref. 27436).  Rare appearances in public aquariums (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes emphaeus,Scorpaenidae,Scorpaeniformes,Sebastes emphaeus,reef-associated,0,366,18,TL,hunting macrofauna (predator),,planktivore,Love 2011,pelagic,terminal,forked,rocky bottoms,demersal,,,,,,,,58000,22,schooling,"Mecklenburg, Kolora et al. 2021, Love 2011","Inhabits reefs and rocky shorelines and found in loose congregations hovering above the bottom or resting among caves and crevices (Ref. 27436).  Seeks shelter in areas of strong current (Ref. 2850).  Viviparous (Ref. 34817).  Flesh is tasty and flaky, but since it is rarely caught, it is seldom used as a food fish (Ref. 2850, 27436).  May be used as bait for large rockfish, lingcod or cabezon (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes entomelas,Scorpaenidae,Scorpaeniformes,Sebastes entomelas,pelagic-neritic,0,800,59,TL,hunting macrofauna (predator),,generalist,fishbase,pelagic,terminal,forked,rocky bottoms,demersal,,,,,,,,684077,60,schooling,"Mecklenburg, Kolora et al. 2021, Love et al. 1990","A generally active and free-swimming rockfish found in midwater above a rocky reef or steep shoreline; occasionally huddling motionless among caves and crevices (Ref. 27436).  Young are found in shallow water (Ref. 2850).  Form schools (Ref. 2850).  Feed mostly on small pelagic crustaceans and fishes (Ref. 2850).  Viviparous (Ref. 34817).  Marketed fresh and frozen; eaten pan-fried, boiled, microwaved and baked (Ref. 9988).",Also feeds on planktonic crustaceans (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes flavidus,Scorpaenidae,Scorpaeniformes,Sebastes flavidus,reef-associated,0,549,66,TL,hunting macrofauna (predator),,generalist,NOAA,pelagic,terminal,forked,rocky bottoms,demersal,,,,,,,,972183,64,schooling,"Mecklenburg, Kolora et al. 2021, Love et al. 1990","Form schools in open water along steeply sloping shores or above rocky reefs; also holes up amid cracks and crevices of the sea floor (Ref. 27436).  Juveniles found around floats and pilings (Ref. 27436).  Feed on pelagic crustaceans, fishes and squids (Ref. 6885).  Viviparous (Ref. 34817).  Filleted, then sold fresh or frozen, with other rockfishes (Ref. 27436).","Form schools in open water along steeply sloping shores or above rocky reefs; also holes up amid cracks and crevices of the sea floor (Ref. 27436).  Juveniles found around floats and pilings (Ref. 27436).  Feed on pelagic crustaceans, fishes and squids (Ref. 6885).  Viviparous (Ref. 34817).",36.84210526,10.52631579,42.10526316,0,0,0,10.52631579,0,0,0,0,0,0,0,
Sebastes helvomaculatus,Scorpaenidae,Scorpaeniformes,Sebastes helvomaculatus,demersal,25,549,41,TL,NA,,invertivore,NOAA,,terminal,truncate,rocky bottoms,benthic,4.1,9.1,,,,Love 2011,,,87,solitary,Blake et al. supp mat,Found on soft bottoms (Ref. 2850).  Often caught on commercial longlines set below 108 m (Ref. 27437).  Viviparous (Ref. 34817).,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
Sebastes maliger,Scorpaenidae,Scorpaeniformes,Sebastes maliger,demersal,0,274,61,TL,hunting macrofauna (predator),,generalist,Beukhof et al. 2019,,terminal,rounded,rocky bottoms,benthic,,,,,,,,,95,solitary,"Kolora et al. 2021, Kells et al.","Inhabit rocky bottoms and reefs, usually solitary on the bottom or hovering just above the bottom, but never far from cover (Ref. 27436, 27437).  Viviparous (Ref. 34817).  Marketed as fillets (Ref. 27436).","Inhabit rocky bottoms and reefs, usually solitary on the bottom or hovering just above it, but never far from cover (Ref. 27436, 27437).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes melanops,Scorpaenidae,Scorpaeniformes,Sebastes melanops,reef-associated,0,366,65,TL,hunting macrofauna (predator),,piscivore,fishbase,pelagic,terminal,forked,rocky bottoms,demersal,,,,,,,,1135457,56,schooling,"Mecklenburg, Kolora et al. 2021, Love 2011","Found near rocky reefs in shallow water and in open water over deep banks (Ref. 2850).  Adults live both off and on bottom (Ref. 2850).  Juveniles are pelagic (Ref. 36715).  Form schools (Ref. 2850).  Feed on fishes (Ref. 27302).  Viviparous, with planktonic larvae (Ref. 36715).  Young are important prey species for other fishes, marine mammals and birds.  Excellent food fish (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes melanostictus,Scorpaenidae,Scorpaeniformes,Sebastes melanostictus,benthopelagic,84,1000,54,FL,NA,,generalist,Beukhof et al. 2019,,terminal,truncate,,demersal,,,,,,,,,90,,Kolora et al. 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes melanostomus,Scorpaenidae,Scorpaeniformes,Sebastes melanostomus,bathydemersal,125,769,61,TL,NA,,piscivore,"Kells, Rocha, and Allen",pelagic,terminal,truncate,soft bottoms,demersal,4.7,10.2,,,,Love 2011,,769000,90,,"Kolora et al. 2021, Beukhof et al. 2019, Love et al. 1990","Found on soft bottom in deep water, but young in shallower areas (Ref. 2850).  Juveniles are pelagic (Ref. 36715).  Viviparous, with planktonic larvae (Ref. 36715).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes nigrocinctus,Scorpaenidae,Scorpaeniformes,Sebastes nigrocinctus,reef-associated,10,275,61,TL,hunting macrofauna (predator),,piscivore,Beukhof et al. 2019,,terminal,rounded,rocky bottoms,crevices,,,,,,,,,116,solitary,Kolora et al. 2021,"Inhabit rocky reefs, mainly at depths greater than 10 m (Ref. 27436).  Solitary and territorial, defending a home crevice among rocks (Ref. 2850).  Juveniles pelagic (Ref. 27436).  Viviparous (Ref. 34817).  Quickly changes color when disturbed or when there is a change in lighting (Ref. 6885).  Caught infrequently and incidentally marketed  as rockfish (Ref. 27436).  Flesh firm and tasty (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes paucispinis,Scorpaenidae,Scorpaeniformes,Sebastes paucispinis,reef-associated,20,476,91,TL,hunting macrofauna (predator),,piscivore,fishbase,pelagic,terminal,truncate,rocky bottoms,demersal,5.3,16.6,,,,Love 2011,,1908915,58,schooling,"Kolora et al. 2021, Love et al. 1990","Adults found over rocky reefs, but also common on open bottoms to about 320 m (Ref. 2850).  Juveniles are pelagic and settle in near shore nursery areas, then move to deeper habitats (Ref. 36715).  Young form schools (Ref. 2850).  Feed mainly on fishes, including other rockfishes (Ref. 2850).  Ovoviviparous, with planktonic larvae (Ref. 36715, 6885, 34817). Validated age by radiometry is 37 yrs (Ref. 75794).  A famous sport fish throughout its range (Ref. 2850).  Flesh is of excellent quality when kept chilled (Ref. 27436).  Sold with other rockfish species (Ref. 27436).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes phillipsi,Scorpaenidae,Scorpaeniformes,Sebastes phillipsi,bathydemersal,174,274,43,TL,NA,,planktivore,Love 2011,,terminal,truncate,rocky bottoms,demersal,,,,,,,,,53,,Kolora et al. 2021,Occur usually on deep reefs (Ref. 2850).  Viviparous (Ref. 34817).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes pinniger,Scorpaenidae,Scorpaeniformes,Sebastes pinniger,demersal,18,425,76,TL,hunting macrofauna (predator),,generalist,fishbase,pelagic,terminal,forked,rocky bottoms,demersal,5.2,12.2,,,,Love 2011,,1900000,84,schooling,"Mecklenburg, Kolora et al. 2021","Adults hover in loose groups above rocky bottoms (Ref. 27436).  Pelagic juveniles are found in shallower water (Ref. 27436).  Feed on small fishes and krill (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715).  Validated age by radiometry is 44 yrs (Ref. 49687).  Flesh is of good quality (Ref. 27436).  Sold as fillets (Ref. 27436).",Feeds on euphausiids and fish (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes polyspinis,Scorpaenidae,Scorpaeniformes,Sebastes polyspinis,demersal,73,740,41,TL,hunting macrofauna (predator),,invertivore,NOAA,,terminal,forked,soft bottoms,benthic,-0.2,10.6,,,,Love 2011,,,88,schooling,Kolora et al. 2021,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,NA,4.744852283,5.908683975,66.47269472,4.252461952,12.57833483,0.895255148,4.207699194,0.223813787,0.223813787,0.089525515,0,0.358102059,0.044762757,0,
Sebastes proriger,Scorpaenidae,Scorpaeniformes,Sebastes proriger,bathydemersal,12,425,52,TL,NA,,generalist,NOAA,,terminal,emarginate,rocky bottoms,demersal,4.5,11.9,,,,Love 2011,,,70,schooling,"Mecklenburg, Kolora et al. 2021","Occur in areas where rocky reefs and steep silt-covered cliff faces meet gently sloping sand or mud bottoms (Ref. 27436).  Found hovering just off the bottom or resting on a rocky perch (Ref. 27436).  Viviparous (Ref. 34817).  Sold as fresh or frozen fillets, together with other rockfish species (Ref. 27436).  Not popular as a game fish (Ref. 27436).",NA,17.85714286,14.28571429,53.57142857,0,10.71428571,0,3.571428571,0,0,0,0,0,0,0,
Sebastes reedi,Scorpaenidae,Scorpaeniformes,Sebastes reedi,bathydemersal,141,366,58,TL,hunting macrofauna (predator),,generalist,Love 2011,pelagic,terminal,forked,rocky bottoms,benthic,,,,,,,,,100,,Kolora et al. 2021,Found on rough bottoms (Ref. 2850).  Minimum depth reported from Ref. 27437.  Viviparous (Ref. 34817).,"Larvae likely feed on copepods, euphausiids and other invertebrates.  Matured individuals switch to different fishes and crustaceans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes ruberrimus,Scorpaenidae,Scorpaeniformes,Sebastes ruberrimus,reef-associated,15,549,91,TL,hunting macrofauna (predator),,generalist,fishbase,,terminal,truncate,rocky bottoms,demersal,4.7,,,,,Love 2011,,27300000,147,solitary,"Kolora et al. 2021, Beukhof et al. 2019, Love et al. 1990","Occur in rocky reefs and boulder fields (Ref. 27437), the young found in shallower regions (Ref. 27436).  Feed on fishes and crustaceans (Ref. 28499).  Viviparous (Ref. 34817).  Sold as fillets (Ref. 6885).",NA,56.25,37.5,6.25,0,0,0,0,0,0,0,0,0,0,0,
Sebastes saxicola,Scorpaenidae,Scorpaeniformes,Sebastes saxicola,demersal,25,547,41,TL,NA,,planktivore,Love 2011,pelagic,terminal,emarginate,soft bottoms,benthic,6.7,11.8,,,,Love 2011,,230000,38,solitary,"Kolora et al. 2021, Love 2011",Mostly found in offshore water on soft bottoms (Ref. 2850).  Ovoviviparous (Ref. 6885).  Anterolateral glandular grooves with venom gland (Ref. 57406).  Commonly caught with trawls but usually discarded because of its small size (Ref. 2850).  Rarely taken on baited hook in deep water (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes serranoides,Scorpaenidae,Scorpaeniformes,Sebastes serranoides,reef-associated,0,146,61,TL,hunting macrofauna (predator),,piscivore,"Kells, Rocha, and Allen",variable,terminal,truncate,rocky bottoms,demersal,,,,,,,,490000,30,schooling,"Kolora et al. 2021, Love 2011","Sometimes found well off bottom, in or near kelp or over rocky reefs (Ref. 2850).  Juveniles are pelagic (Ref. 36715).  Viviparous, with planktonic larvae (Ref. 36715).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes variabilis,Scorpaenidae,Scorpaeniformes,Sebastes variabilis,demersal,6,675,59,TL,NA,,planktivore,Love 2011,pelagic,terminal,emarginate,,demersal,2.8,10,,,,Love 2011,,,76,,Kolora et al. 2021,"Collection depth between 6-370 m, deepest recorded depth at 675 m.  Large adults common along the edge of the continental shelf at 100-300 m where the species is targeted for commercial use.  Captured in the offshore trawl fishery.  Males and females captured by trawl surveys vary widely in maturity during the summer (May-July) (Ref. 53613).",Large adults coomon along the edge of the continental shelf at 100-300 m (Ref. 53613).,8.306709265,3.833865815,49.20127796,3.194888179,9.904153355,10.22364217,1.916932907,0,8.945686901,0,0,4.47284345,0,0,
Sebastes variegatus,Scorpaenidae,Scorpaeniformes,Sebastes variegatus,demersal,49,558,37,TL,NA,,invertivore,NOAA,,terminal,truncate,,demersal,3,9.6,,,,Love 2011,,,48,solitary,Kolora et al. 2021,Viviparous (Ref. 34817).  Too small to be of high commercial value (Ref. 27437).,NA,0,2.222222222,75.55555556,0,17.77777778,4.444444444,0,0,0,0,0,0,0,0,
