species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Sebastes polyspinis,Scorpaenidae,Scorpaeniformes,Sebastes polyspinis,NA,73,740,NA,41,TL,hunting macrofauna (predator),generalist,invertivore,NOAA,NA,terminal,emarginate,soft bottoms,benthic,NA,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,-0.2,10.6,NA,NA,NA,Love 2011,bearer,NA,88,schooling,Kolora et al. 2021,4.744852283,5.908683975,66.47269472,4.252461952,12.57833483,0.895255148,4.207699194,0.223813787,0.223813787,0.089525515,0,0.358102059,0.044762757,0,TRUE
Sebastes proriger,Scorpaenidae,Scorpaeniformes,Sebastes proriger,NA,12,425,NA,52,TL,NA,generalist,generalist,NOAA,NA,terminal,emarginate,rocky bottoms,demersal,NA,"Occur in areas where rocky reefs and steep silt-covered cliff faces meet gently sloping sand or mud bottoms (Ref. 27436).  Found hovering just off the bottom or resting on a rocky perch (Ref. 27436).  Viviparous (Ref. 34817).  Sold as fresh or frozen fillets, together with other rockfish species (Ref. 27436).  Not popular as a game fish (Ref. 27436).",4.5,11.9,NA,NA,NA,Love 2011,bearer,NA,70,schooling,"Mecklenburg, Kolora et al. 2021",17.85714286,14.28571429,53.57142857,0,10.71428571,0,3.571428571,0,0,0,0,0,0,0,TRUE
Sebastes rastrelliger,Scorpaenidae,Scorpaeniformes,Sebastes rastrelliger,demersal,0,46,NA,56,TL,hunting macrofauna (predator),generalist,NA,NA,NA,terminal,rounded,rocky bottoms,benthic,NA,"Found commonly on rocky bottom in tide pools and near shore, also in kelp and eelgrass beds.  Occur up to 46 m depth but usually at less than 15 m.  Viviparous, with planktonic larvae (Ref. 36715).  Most important rockfish to rocky shore and jetty fishermen.  Good eating.",NA,NA,NA,NA,NA,NA,bearer,760000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastes reedi,Scorpaenidae,Scorpaeniformes,Sebastes reedi,NA,141,366,NA,58,TL,hunting macrofauna (predator),NA,generalist,Love 2011,pelagic,terminal,emarginate,rocky bottoms,benthic,"Larvae likely feed on copepods, euphausiids and other invertebrates.  Matured individuals switch to different fishes and crustaceans.",Found on rough bottoms (Ref. 2850).  Minimum depth reported from Ref. 27437.  Viviparous (Ref. 34817).,NA,NA,NA,NA,NA,NA,bearer,NA,100,NA,Kolora et al. 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastes rosaceus,Scorpaenidae,Scorpaeniformes,Sebastes rosaceus,demersal,15,128,NA,36,TL,NA,NA,NA,NA,NA,terminal,truncate,NA,NA,NA,Caught fairly often by sport fishers using small hooks (Ref. 2850).  Viviparous (Ref. 34817).,NA,NA,NA,NA,NA,NA,bearer,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sebastes ruberrimus,Scorpaenidae,Scorpaeniformes,Sebastes ruberrimus,NA,15,549,NA,91,TL,hunting macrofauna (predator),generalist,generalist,fishbase,NA,terminal,truncate,rocky bottoms,demersal,NA,"Occur in rocky reefs and boulder fields (Ref. 27437), the young found in shallower regions (Ref. 27436).  Feed on fishes and crustaceans (Ref. 28499).  Viviparous (Ref. 34817).  Sold as fillets (Ref. 6885).",4.7,NA,NA,NA,NA,Love 2011,bearer,27300000,147,solitary,"Kolora et al. 2021, Beukhof et al. 2019, Love et al. 1990",56.25,37.5,6.25,0,0,0,0,0,0,0,0,0,0,0,TRUE
Sebastes saxicola,Scorpaenidae,Scorpaeniformes,Sebastes saxicola,NA,25,547,NA,41,TL,NA,NA,planktivore,Love 2011,pelagic,terminal,emarginate,soft bottoms,benthic,NA,Mostly found in offshore water on soft bottoms (Ref. 2850).  Ovoviviparous (Ref. 6885).  Anterolateral glandular grooves with venom gland (Ref. 57406).  Commonly caught with trawls but usually discarded because of its small size (Ref. 2850).  Rarely taken on baited hook in deep water (Ref. 2850).,6.7,11.8,NA,NA,NA,Love 2011,bearer,230000,38,solitary,"Kolora et al. 2021, Love 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastes serranoides,Scorpaenidae,Scorpaeniformes,Sebastes serranoides,NA,0,146,NA,61,TL,hunting macrofauna (predator),generalist,piscivore,"Kells, Rocha, and Allen",variable,terminal,truncate,rocky bottoms,demersal,NA,"Sometimes found well off bottom, in or near kelp or over rocky reefs (Ref. 2850).  Juveniles are pelagic (Ref. 36715).  Viviparous, with planktonic larvae (Ref. 36715).",NA,NA,NA,NA,NA,NA,bearer,490000,30,schooling,"Kolora et al. 2021, Love 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastes variabilis,Scorpaenidae,Scorpaeniformes,Sebastes variabilis,NA,6,675,NA,59,TL,NA,generalist,planktivore,Love 2011,pelagic,terminal,emarginate,NA,demersal,Large adults coomon along the edge of the continental shelf at 100-300 m (Ref. 53613).,"Collection depth between 6-370 m, deepest recorded depth at 675 m.  Large adults common along the edge of the continental shelf at 100-300 m where the species is targeted for commercial use.  Captured in the offshore trawl fishery.  Males and females captured by trawl surveys vary widely in maturity during the summer (May-July) (Ref. 53613).",2.8,10,NA,NA,NA,Love 2011,bearer,NA,76,NA,Kolora et al. 2021,8.306709265,3.833865815,49.20127796,3.194888179,9.904153355,10.22364217,1.916932907,0,8.945686901,0,0,4.47284345,0,0,TRUE
Sebastes variegatus,Scorpaenidae,Scorpaeniformes,Sebastes variegatus,NA,49,558,NA,37,TL,NA,planktivorous,invertivore,NOAA,NA,terminal,truncate,NA,demersal,NA,Viviparous (Ref. 34817).  Too small to be of high commercial value (Ref. 27437).,3,9.6,NA,NA,NA,Love 2011,bearer,NA,48,solitary,Kolora et al. 2021,0,2.222222222,75.55555556,0,17.77777778,4.444444444,0,0,0,0,0,0,0,0,TRUE
Sebastes wilsoni,Scorpaenidae,Scorpaeniformes,Sebastes wilsoni,NA,29,274,NA,23,TL,NA,NA,planktivore,Love 2011,pelagic,terminal,truncate,rocky bottoms,demersal,NA,An offshore species (Ref. 27437).  Viviparous (Ref. 34817).,8.8,12.1,NA,NA,NA,Love 2011,bearer,NA,26,schooling,Kolora et al. 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastes zacentrus,Scorpaenidae,Scorpaeniformes,Sebastes zacentrus,NA,25,660,NA,45,TL,NA,planktivorous,invertivore,NOAA,NA,terminal,truncate,soft bottoms,benthic,NA,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,NA,NA,NA,NA,NA,NA,bearer,NA,58,NA,Blake et al. supp mat,0.523560209,4.712041885,78.0104712,6.806282723,9.947643979,0,0,0,0,0,0,0,0,0,TRUE
Sebastolobus alascanus,Scorpaenidae,Scorpaeniformes,Sebastolobus alascanus,NA,17,1524,NA,82.6,TL,filtering plankton,planktivorous,planktivore,fishbase,NA,terminal,rounded,soft bottoms,benthic,NA,Very common on soft bottoms (Ref. 2850).  Oviparous (Ref. 205).  Eggs are extruded in floating gelatinous masses (Ref. 31279).  Have a thick glandular tissue on posterior margin of fin spines which is believed to be venomous (Ref. 57406).  Rarely taken by game fishers (Ref. 27436).  Flesh sweeter than that of other rockfishes (Ref. 27436).,2,10.2,NA,NA,NA,Love 2011,non-guarder,2000000,108,solitary,"Blake et al. supp mat, Love 2011",13.60737066,41.67257264,36.85329554,0.070871722,4.53579022,0.141743444,2.055279943,0.141743444,0,0.708717222,0.141743444,0,0.070871722,0,TRUE
Sebastolobus altivelis,Scorpaenidae,Scorpaeniformes,Sebastolobus altivelis,NA,201,1756,NA,38,TL,NA,NA,generalist,Love 2011,variable,terminal,truncate,soft bottoms,benthic,NA,Adults occur on soft bottom of offshore waters (Ref. 2850).  Juveniles occur in midwater (Ref. 2850).  Oviparous (Ref. 205).  Eggs are spawned in pelagic gelatinous masses (Ref. 59312).,2,8.1,NA,NA,NA,Love 2011,non-guarder,106000,65,solitary,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sebastolobus macrochir,Scorpaenidae,Scorpaeniformes,Sebastolobus macrochir,NA,110,1504,NA,35,TL,filtering plankton,planktivorous,planktivore,fishbase,variable,terminal,truncate,NA,benthic,"Occurs in places with the steepest downthrow and sharp bends of sea bottom often in the places of the slope surrounded by large depths (the steep bottom relief causes vertical turbulent currents that provide the accumulation of food items) (Ref. 26289).  Feeds on bottom organisms (Ophiuroidea, Amphipoda) and on pelagics such as young squids (Ref. 26289).",Occurs in places with the steepest downthrow and sharp bends of sea bottom often in the places of the slope surrounded by large depths (the steep bottom relief causes vertical turbulent currents that provide the accumulation of food items) (Ref. 26289).  Oviparous (Ref. 205).  Eggs are extruded in floating gelatinous masses (Ref. 52092).,NA,NA,NA,NA,NA,NA,non-guarder,NA,34,NA,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Apristurus brunneus,Scyliorhinidae,Carcharhiniformes,Apristurus brunneus,demersal,33,1306,NA,69,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,inferior,heterocercal,sandy mud bottoms,demersal,"Feeds mainly on shrimps; also on euphausiid shrimps, squids and small fishes (Ref. 244).","Inhabits the outer continental shelf and upper slope (Ref. 244).  Found over muddy or sandy bottoms (Ref. 27436).  Feeds on small true shrimps, euphausiid shrimps, squids, and small fishes (Ref. 244). Oviparous (Ref. 50449).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Serrivomer sector,Serrivomeridae,Anguilliformes,Serrivomer sector,bathypelagic,0,3243,NA,76,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,pointed,pelagic,pelagic,NA,"Meso- and bathypelagic (Ref. 58302).  Feeds primarily on crustaceans, and to a lesser extent upon small cephalopods and fishes (Ref. 4525).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Somniosus pacificus,Somniosidae,Squaliformes,Somniosus pacificus,benthopelagic,0,2205,NA,440,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,inferior,heterocercal,NA,demersal,Found on the continental slope (Ref. 75154).,"Demersal and mesobenthopelagic (Ref. 119696); found on continental shelves and slopes (Ref. 247).  At high latitudes, occasionally occurs in littoral and even intertidal areas; in lower latitudes it may never come to the surface and ranges down to at least 2,000 m (Ref. 247), reported to about 2,205 m in the Hawaiian Is. as recorded by camera arrays (Ref. 119696).  Feeds on bottom animals such as fishes, octopi, squids, crabs and  tritons; also harbor seals and carrion (Ref. 247).  Ovoviviparous (Ref. 205), with 300 pups in a litter (Ref. 247), length at birth about 42 cm or less (Ref. 26346).  The flesh contains a type of toxin which, when eaten, produces symptoms of drunkenness (Ref. 583).  Possibly reaches lengths greater than 700 cm (Ref. 247).",NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,60,0,0,0,0,0,20,20,0,0,0,0,0,0,FALSE
Squalus suckleyi,Squalidae,Squaliformes,Squalus suckleyi,benthopelagic,15,1244,NA,140,TL,NA,NA,generalist,USGS,variable,inferior,heterocercal,variable,demersal,"Apparently prefers water temperatures 7-15ª??…–C, and often makes longitudinal and depth migrations to follow this temperature preference (Ref. 48844).  Opportunistic feeders, no specific targeted prey but fishes are the main prey of larger individuals; also consumes squids, octopi, medusae, ctenophores, crustaceans (e.g., shrimps, euphausiids, and amphipods), and polychaetes (Ref. 119696).","A demersal species found in coastal and oceanic waters; mainly epibenthopelagic which may be solitary or in groups (Ref.. 119696).  It  appears to prefer water temperatures between 7 and 15ª??…–C, and often makes longitudinal and depth migrations to follow this temperature preference (Ref. 48844). Reported taken at water temperatures of 0-12.7ª??…–C, with maximum catches at over 8ª??…– C. Juveniles are reported pelagic within the upper 25 m, settling to the bottom with maturity, mostly at 50-200 meters.  Opportunistic feeders, with no specific targeted prey, but fishes are the main prey of larger individuals; also consumes squids, octopi, medusae, ctenophores, crustaceans (e.g., shrimps, euphausiids, and amphipods), and polychaetes (Ref. 119696).  Edible but not appreciated. Its liver once served as a source of oil for mine lamps in the Nanaimo area (Ref. 6885).  Due to the high mercury content in large individuals, it is recommended that only those less than 60 cm are eaten (Ref. 11007). Males mature at 70-80 cm TL (median age is 18.5 years) and females at 80-100 cm TL (median age 35.5 years) (Ref. 85328).  In the high seas, this fish is taken as bycatch with salmon gillnet surveys from north of 40ª??…– to south of the Aleutian chain, over the Aleutian Basin and Bering Sea to about 60ª??…–N, along the chain and all across the Gulf of Alaska offshore; by bottom and pelagic trawls and gillnets northward from South Korea the Hawaiian Is., and southern California (Ref. 119696).",0,15,NA,NA,can tolerate freshwater,USGS,none,20,100,schooling,usgs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Squatina californica,Squatinidae,Squatiniformes,Squatina californica,demersal,3,205,NA,152,TL,hunting macrofauna (predator),piscivorous,piscivore,Beukhof et al. 2019,variable,inferior,heterocercal,sandy bottoms,buried,Also in Ref. 9137.  A carnivor (Ref. 9137).,"Found on the continental shelf and littoral areas (Ref. 247).A sluggish and inactive species that buries itself in sand or mud (Ref. 247).  Also found around rocks, heads of submarine canyons, and sometimes near kelp forests (Ref. 247).  Feeds on bottom and epibenthic fishes, including croakers, California halibut, and squid (Ref. 247).  Ovoviviparous (Ref. 50449).  Can whip up its head and snap very quickly when touched, provoked, harassed, or speared, and can inflict painful lacerations (Ref. 247).",NA,NA,NA,NA,NA,NA,bearer,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Argyropelecus affinis,Sternoptychidae,Stomiiformes,Argyropelecus affinis,bathypelagic,1,3872,oceanodromous,8.399999619,SL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,superior,forked,pelagic,pelagic,NA,"An oceanic and mesopelagic species (Ref. 4739, 58302), mainly at 300-650 m (Ref. 4054), 170-500 m at night and 350-600 m during day (Ref. 58302), commonly 1-600m (Ref. 035838).  May make short diel migrations (Ref. 4739).  Smaller individuals feed on copepods and ostracods; larger ones feed on euphausiids, salps and chaetognaths (Ref. 4739).  Adult complement of photophores acquired at about 14 mm SL (Ref. 4739).  Oviparous, with planktonic eggs and larvae (Ref. 35838).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Argyropelecus lychnus,Sternoptychidae,Stomiiformes,Argyropelecus lychnus,bathypelagic,150,700,NA,5.900000095,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,superior,forked,pelagic,pelagic,NA,"Copepods have been found in the food items consumed by this species (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 35838). Minimum depth is from Ref. 82347.",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Argyropelecus sladeni,Sternoptychidae,Stomiiformes,Argyropelecus sladeni,bathypelagic,50,2926,NA,7,TL,selective plankton feeding,NA,planktivore,fishbase,pelagic,superior,forked,pelagic,pelagic,NA,"Mesopelagic (Ref. 58302).  Found in 50-600 m during the day and 100-375 m at night (Ref. 4054).  Feed on copepods (Ref. 6885).  Oviparous, with planktonic eggs and larvae (Ref. 35838).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sternoptyx diaphana,Sternoptychidae,Stomiiformes,Sternoptyx diaphana,bathypelagic,400,3676,oceanodromous,5.5,SL,hunting macrofauna (predator),NA,planktivore,fishbase,pelagic,superior,forked,pelagic,pelagic,"Oceanic and non-vertical migrant (Ref. 4739).  Commonly found in 500-800 m both day and night (Ref. 4054).  Possibly a cyclic feeder of copepods, ostracods, euphausiids, amphipods, fishes and other taxa (Ref. 4739).  Feed on fewer but larger prey items from regions of cooler overlying water massess and diet was less diverse than that of fish from warmer waters (Ref. 54153).  Larger specimens feed on larger food items.  Feeding strategy appears to involve capture of the nearest """"available"""" prey within its immediate vicinity (Ref. 54153).","Oceanic and non-vertical migrant (Ref. 4739).  Mesopelagic at 275-1200 m (Ref. 58302).  Commonly found in 500-800 m both day and night (Ref. 4054).  Possibly a cyclic feeder of copepods, ostracods, euphausiids, amphipods, fishes and other taxa (Ref. 4739).  Adult photophore complement acquired at 11-13 mm SL (Ref. 4739).  Lipid content 1.4 % in fresh body weight and wax ester is 4.2 % in total lipids (Ref. 9193).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Acantholumpenus mackayi,Stichaeidae,Perciformes,Acantholumpenus mackayi,NA,0,56,NA,70,SL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,"Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).","Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).",2.4,15,8,NA,enters brackish water,USGS,NA,32000,16,solitary,"Mecklenburg et al 2018, Beukhof et al. 2019, Coad et al. 2018",0,2.702702703,54.95495495,0,25.22522523,0,0,1.801801802,0,1.801801802,13.51351351,0,0,0,TRUE
Anisarchus medius,Stichaeidae,Perciformes,Anisarchus medius,NA,10,150,NA,18,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,soft bottoms,benthic,"Found on muddy bottoms, generally preferring water below 0ª??C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).","Found on muddy bottoms, generally preferring water below 0ª??C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).",-1.7,7.9,31.3,33.3,NA,mecks,brooding,700,13,NA,"Wiedmann 2015, Wiedmann 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anoplarchus insignis,Stichaeidae,Perciformes,Anoplarchus insignis,demersal,1,30,NA,12,TL,NA,NA,generalist,Peppar 1965,benthic,terminal,rounded,rocky bottoms,benthic,NA,Prefers subtidal areas among rocks (Ref. 2850) and algae to depths of 30 meters (Ref. 51666).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anoplarchus purpurescens,Stichaeidae,Perciformes,Anoplarchus purpurescens,demersal,1,30,NA,20,TL,variable,NA,generalist,fishbase,benthic,terminal,rounded,rocky bottoms,benthic,"Usually found in intertidal areas under rocks (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Green algae is an important food item but may also feed on polychaete worms, crustaceans and mollusks (Ref. 6885).  Breathes air (Ref. 31184) and can remain out of water for 15-25 hours if kept moist (Ref. 51276).  Feeds on plants and benthic invertebrates (Ref. 6885).","Usually found in intertidal areas under rocks (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Green algae is an important food item but may also feed on polychaete worms, crustaceans and mollusks (Ref. 6885).  Breathes air (Ref. 31184) and can remain out of water for 15-25 hours if kept moist (Ref. 51276).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bryozoichthys lysimus,Stichaeidae,Perciformes,Bryozoichthys lysimus,demersal,45,490,NA,27,TL,NA,NA,generalist,Tokranov and Orlov 2004,benthic,terminal,rounded,soft bottoms,benthic,NA,Found in soft bottoms at depths of 45 - 490 meters; usually on outer continental shelf and upper slope (Ref. 51666).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bryozoichthys marjorius,Stichaeidae,Perciformes,Bryozoichthys marjorius,bathydemersal,75,380,NA,30,TL,NA,NA,NA,NA,benthic,terminal,rounded,soft bottoms,benthic,NA,Found in soft bottoms on outer continental shelf and upper slope (Ref. 51666).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Chirolophis decoratus,Stichaeidae,Perciformes,Chirolophis decoratus,demersal,NA,91,NA,42,TL,NA,NA,NA,NA,benthic,terminal,rounded,rocky bottoms,crevices,NA,"Usually among seaweed on rocky bottoms (Ref. 2850); in reef crevices, usually among algae (Ref. 51666).  Occurs in subtidal areas to 91 m depth (Ref. 2850).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Chirolophis nugator,Stichaeidae,Perciformes,Chirolophis nugator,demersal,20,80,NA,15,TL,hunting macrofauna (predator),NA,NA,NA,NA,terminal,rounded,rocky bottoms,crevices,NA,"Usually in intertidal and subtidal rocky areas (Ref. 2850, 51666).  Sometimes hides in crevices and tubeworms holes with only head protruding (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Chirolophis snyderi,Stichaeidae,Perciformes,Chirolophis snyderi,demersal,0,490,NA,20,SL,NA,NA,NA,NA,NA,terminal,rounded,soft and rocky bottoms,benthic,NA,Inhabits soft and rocky bottoms; usually near shore and shallower than 70 meters (Ref. 51666).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Chirolophis tarsodes,Stichaeidae,Perciformes,Chirolophis tarsodes,demersal,1,75,NA,19,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy bottoms,benthic,NA,Occurs in shallow subtidal rocky areas (Ref. 2850); on sandy bottom in rocky areas near shore at depths of 70 meters (Ref. 51666).  Minimum depth from Ref. 58018.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Eumesogrammus praecisus,Stichaeidae,Perciformes,Eumesogrammus praecisus,NA,16,400,NA,23,TL,NA,NA,invertivore,fishbase,benthic,terminal,rounded,sandy bottoms,demersal,"Occurs over sand to gravel-and-stone bottoms at depths of 16-400 meters, typically shallower than 70 meters (Ref. 51666).  Benthic; feeds on crustaceans (Ref. 58426).","Occurs over sand to gravel-and-stone bottoms at depths of 16-400 meters, typically shallower than 70 meters (Ref. 51666).  Benthic; feeds on crustaceans (Ref. 58426).",-1.3,4,32,33.3,NA,mecks,brooding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Leptoclinus maculatus,Stichaeidae,Perciformes,Leptoclinus maculatus,NA,2,475,NA,20,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,variable,inferior,truncate,sandy mud bottoms,benthic,"Inhabits sandy bottoms (Ref. 2850); mud to pebble bottom, usually in less than 170 meters (Ref. 51666).  Benthic (Ref. 58426).  Feeds on polychaetes and crustaceans (Ref. 10571).","Adults, juveniles, and late postlarvae are found on sandy and mud to pebble bottoms, usually in less than 170 meters (Ref. 2850, 51666, 120227), while early postlarvae are pelagic (Ref. 120227). Food consists of polychaetes and crustaceans (Ref. 10571). They are an important prey for pelagic (as larvae) and benthic (as adults) predators (Ref. 120226). Sexual dimorphism is more pronounced after maturation with males displaying faster somatic growth (Ref. 120226).",-1.6,11.5,25.8,35,NA,mecks,NA,1000,10,NA,Beukhof et al. 2019,0,0,42.85714286,0,57.14285714,0,0,0,0,0,0,0,0,0,TRUE
Lumpenella longirostris,Stichaeidae,Perciformes,Lumpenella longirostris,NA,25,1140,NA,42,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,inferior,rounded,soft bottoms,benthic,Juveniles were found eating copepods almost exclusively (Ref. 6885).,Found offshore (Ref. 2850); possibly the deepest-living lumpenine (Ref. 51666).,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lumpenus fabricii,Stichaeidae,Perciformes,Lumpenus fabricii,NA,0,235,NA,36.5,TL,hunting macrofauna (predator),NA,invertivore,NOAA,benthic,terminal,rounded,rocky bottoms,benthic,"Inhabits sandy to rocky bottoms, often in seagrass or algae; rarely, if ever, found in intertidal area (Ref. 51666).  Benthic (Ref. 5951).  Feeds on crustaceans, worms, clams, and fish eggs (Ref. 58426).","Inhabits sandy to rocky bottoms, often in seagrass or algae; rarely, if ever, found in intertidal area (Ref. 51666).  Feeds on crustaceans, worms, clams, and fish eggs (Ref. 58426).",-1.6,15.6,12,28.3,NA,"mecks, Coad et al. 2018,USGS",NA,490,17,schooling,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Coad et al. 2018",0,0,55.14511873,0,30.8707124,0,0,0.527704485,0,0,13.45646438,0,0,0,TRUE
Lumpenus sagitta,Stichaeidae,Perciformes,Lumpenus sagitta,benthopelagic,0,425,NA,51,TL,selective plankton feeding,planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,rounded,sandy bottoms,benthic,Juveniles feed almost entirely on copepods (Ref. 6885).,"Found in shallow bays and offshore waters (Ref. 2850); on sand mixed with silt, pebbles, and stones to depths of 425; usually shallower than 200 meters (Ref. 51666).  Sometimes takes hooks using marine worms as bait (Ref. 6885).",NA,NA,NA,NA,NA,NA,guarder,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Plectobranchus evides,Stichaeidae,Perciformes,Plectobranchus evides,demersal,84,368,NA,13,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy bottoms,benthic,NA,Inhabits gravel and sand bottom (Ref. 51666).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Poroclinus rothrocki,Stichaeidae,Perciformes,Poroclinus rothrocki,demersal,46,128,NA,25,TL,NA,NA,NA,NA,benthic,terminal,rounded,sandy and rocky bottoms,benthic,NA,Inhabits sandy to rocky bottoms at depths of 46 to 128 meters (Ref. 51666).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
